Word,Count
growth,1529108
management,1402116
shall,1295401
plan,1002516
city,840236
development,605492
require,596063
application,534720
planning,523372
director,465560
approve,453684
1,434800
may,398109
review,370736
land,359824
2,348383
use,346613
zoning,317555
doc,314024
department,275964
council,274688
public,273436
district,263025
provide,228389
amendment,226348
3,209714
within,205178
4,202303
standards,193678
proposed,190980
area,189464
following,180673
board,177908
permit,173493
site,171492
b,164833
design,163176
c,160059
property,156888
applicant,153728
policies,151620
applicable,146708
building,145151
urban,142408
adopted,140701
consistent,136409
residential,129532
information,129300
future,124564
fee,123508
uses,122825
section,120667
purpose,117812
e,114667
conditions,112800
staff,112580
order,109832
areas,107633
reserve,106304
commission,106196
official,105433
pursuant,104928
including,104845
accordance,104776
5,104586
appeals,103640
time,103268
orlando,103024
regulations,101117
one,99584
comprehensive,99288
administrative,98324
special,96412
map,95102
facilities,95020
gmp,94364
provides,94252
6,92896
upon,91300
street,89757
part,89032
whether,88884
subdivision,86744
7,85295
additional,84852
days,84848
objectives,84756
request,84644
relationship,83708
year,81500
policy,81104
appeal,81048
prior,81032
general,80272
r,80085
existing,80044
must,79738
percent,79156
chapter,78784
established,78108
goals,77924
plat,76904
transportation,76884
necessary,75904
project,75116
subject,75021
districts,74644
include,74125
act,74068
major,72896
f,70855
parking,69655
located,69561
apply,69536
construction,69287
designee,68824
service,68769
committee,68096
control,67992
concurrency,67988
notice,67672
code,67171
submitted,66628
herein,66092
issue,65884
determined,65494
limit,64904
element,64644
10,64368
rate,64340
final,63960
lot,63841
way,63283
overlay,62784
procedures,62540
set,62052
implement,61340
feet,61323
goal,61072
preserve,59544
improvements,59340
process,59336
municipal,59104
written,58396
historic,58344
decision,58052
20,57987
new,57660
conditional,57100
appropriate,56888
water,56644
state,56424
meeting,56084
compliance,55256
unit,55164
based,54800
ordinance,54715
changes,54708
intent,53956
means,53684
hearing,53592
date,53540
article,53484
submit,53464
grant,53324
consider,52216
made,51795
minor,51728
secs,51348
report,51296
annual,51292
florida,50908
objective,50836
right,50825
engineer,50648
12,50320
criteria,50248
number,49983
forth,49568
recommendations,48996
center,48844
landscaping,48605
change,48360
25094,48224
designate,48216
variance,48016
impact,47832
owner,47692
78,47660
traffic,47628
available,47488
sign,47428
landscape,45804
master,45744
unless,45588
11,45468
form,45372
decisions,45060
services,44933
allocate,44704
activity,44332
listed,44272
recommendation,44032
period,43772
also,43444
county,43444
permitted,43104
housing,42768
event,42748
adjacent,42544
local,42508
0,41960
comply,41957
complete,41852
town,41684
action,41552
authorize,41488
otherwise,41344
minimum,41234
schedule,41060
system,40972
00,40888
reviewed,40608
southeast,40588
25102,40552
allocates,40472
community,40436
g,39896
certificate,39692
conservation,39452
30,39298
ch,39040
cost,38812
structures,38725
resolution,38536
filed,38520
used,38138
office,37889
ac,37864
sector,37836
consistency,37652
determine,37604
traditional,37552
preliminary,37536
program,37340
agreement,37328
requested,37224
mixed,37160
contained,37148
make,37016
meet,36860
exceed,36696
