muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,last_date,timestamp
AK_Anchorage,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,20,20,2,1,2,1,0.324324324,43634,4/27/2022 10:17
AK_Homer,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,35,35,,,1,1,0.428571429,43577,4/27/2022 10:17
AK_Kenai,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,35,35,10.5,10.5,2,2,0.384615385,43635,4/27/2022 10:17
AK_Palmer,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,10,10,4,4,2,1,0.2,43669,4/27/2022 10:17
AK_Petersburg,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,30,30,2.5,3,2,2,0.5,41275,4/27/2022 10:17
AK_Sitka,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,16,16,1,1,2,2,0.4,43282,4/27/2022 10:17
AK_Yakutat,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,35,35,1,1,2,2,0,42186,4/27/2022 10:17
AL_Athens,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,12,10,2,2,2,2,0.285714286,43409,4/27/2022 10:17
AL_Auburn,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,35,45,2,2,2,2,0.058823529,43557,4/27/2022 10:17
AL_Bessemer,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,35,35,,,4.25,1,0.285714286,42871,10/21/2022 2:01
AL_Birmingham,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,45,45,3,3,3,1,0.428571429,43465,4/27/2022 10:17
AL_Chickasaw,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,35,35,3,3,1.5,2,0.666666667,42451,4/27/2022 10:17
AL_Citronelle,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,35,35,2,2,2,2,0,42817,4/27/2022 10:17
AL_Clanton,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,50,35,10.5,10.5,2,2,0,41834,10/21/2022 2:01
AL_Decatur,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,35,35,3,3,1.5,1,0.384615385,43039,4/27/2022 10:17
AL_Dothan,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,20,20,3,3,1,1,0.272727273,42935,4/27/2022 10:17
AL_Enterprise,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,16,16,,,2,2,0.111111111,43466,4/27/2022 10:17
AL_Eufaula,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,40,45,2.25,2.5,1.5,1,0.5,43097,4/27/2022 10:17
AL_Fairhope,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,37.5,55,2.5,3,1,1,0.277777778,43626,4/27/2022 10:17
AL_Foley,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,50,50,2,2,2,2,0.3,43528,4/27/2022 10:17
AL_Fultondale,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30,35,2,1,1.2,1,0.625,27926,4/27/2022 10:17
AL_Guntersville,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,25,25,2,2,1,1,0.363636364,42996,10/21/2022 2:01
