muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,timestamp
AZ_Glendale,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,,,2.0,1.0,0.217391304347826,2024-06-28 18:24:28
AZ_SanLuis,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,32.5,30.0,,,0.5,0.5,0.1578947368421052,2024-06-28 18:23:53
CA_Belmont,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,28.0,28.0,2.0,2.0,1.0,1.0,0.7142857142857143,2024-06-28 18:22:48
CA_Coronado,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,26.0,40.0,2.0,2.0,2.0,1.0,0.6666666666666666,2024-06-28 18:21:24
CA_Dublin,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,3.0,3.0,1.0,1.0,0.625,2024-06-28 18:21:01
CA_GroverBeach,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,20.0,1.0,1.0,2.0,2.0,0.8571428571428571,2024-06-28 18:20:13
CT_EastWindsor,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,30.0,30.0,2.0,2.0,2.0,2.0,0.3333333333333333,2024-06-28 18:12:29
CT_Plainville,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0.0,1.0,1.0,1.0,1.0,0.0,30.0,30.0,2.25,2.5,2.0,2.0,0.5,2024-06-28 18:11:47
FL_PinellasPark,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,4.0,4.0,2.0,2.0,0.3636363636363636,2024-06-28 18:07:53
FL_Springfield,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.0,1.0,1.0,1.0,0.0,,,,,3.5,6.0,1.0,2024-06-28 18:07:24
GA_Decatur,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,2.0,2.0,1.0,1.0,0.6153846153846154,2024-06-28 18:06:10
IA_Tipton,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1.0,0.0,0.0,0.0,0.0,52.5,16.0,3.0,3.0,1.5,1.0,0.5,2024-06-28 18:02:35
ID_Orofino,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,25.0,,,1.5,2.0,0.5,2024-06-28 18:01:55
IL_Dwight,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,30.0,30.0,2.5,2.5,2.0,2.0,0.25,2024-06-28 18:00:17
IN_Auburn,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,2.0,2.0,2.0,1.0,0.2666666666666666,2024-06-28 17:54:53
IN_Decatur,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,1.0,1.0,35.0,35.0,2.25,2.5,2.0,1.0,0.0,2024-06-28 17:54:28
KS_Lawrence,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,2.0,2.0,1.5,1.0,0.4666666666666667,2024-06-28 17:52:36
KS_RoelandPark,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,1.0,0.0,30.0,30.0,2.5,2.5,1.0,1.0,0.6,2024-06-28 17:51:58
KY_CrestviewHills,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,25.0,35.0,2.0,2.0,1.0,1.0,0.25,2024-06-28 17:51:36
MA_Adams,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,30.0,30.0,,,2.0,2.0,0.4,2024-06-28 17:49:57
MI_Brighton,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,2.0,2.0,2.0,1.0,0.4,2024-06-28 17:45:14
MI_Buchanan,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,40.0,40.0,2.0,2.0,1.0,1.0,0.3333333333333333,2024-06-28 17:45:11
MI_RochesterHills,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,37.5,30.0,3.0,2.0,1.5,2.0,0.3571428571428571,2024-06-28 17:42:30
MI_Wyoming,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1.0,1.0,1.0,0.0,0.0,1.0,35.0,35.0,1.0,1.0,2.0,2.0,0.0263157894736842,2024-06-28 17:41:01
MN_StCloud,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,,,2.0,2.0,0.5294117647058824,2024-06-28 17:37:12
MO_Fenton,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,45.0,35.0,5.0,5.0,2.0,2.0,0.0,2024-06-28 17:35:53
MO_Glendale,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,35.0,35.0,2.0,2.5,2.0,1.0,0.3333333333333333,2024-06-28 17:35:41
MO_Rolla,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0.0,1.0,1.0,1.0,1.0,0.0,42.0,50.0,3.0,3.0,2.0,2.0,0.2307692307692307,2024-06-28 17:34:08
NC_BoilingSpringLakes,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.0,1.0,1.0,0.0,1.0,1.0,27.5,15.0,,,1.5,1.0,0.3333333333333333,2024-06-28 17:32:21
NH_Litchfield,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,1.5,1.0,0.6666666666666666,2024-06-28 17:28:33
NJ_EnglewoodCliffs,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1.0,1.0,1.0,1.0,0.0,0.0,35.0,35.0,2.0,2.0,1.5,1.0,0.25,2024-06-28 17:27:05
NJ_JerseyCity,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,40.0,10.0,4.0,4.0,1.0,1.0,0.6666666666666666,2024-06-28 17:26:16
NJ_SouthRiver,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0.0,1.0,1.0,1.0,1.0,0.0,27.5,10.0,3.0,3.0,1.5,2.0,0.3333333333333333,2024-06-28 17:24:12
NY_Lawrence,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0.0,1.0,1.0,1.0,0.0,0.0,36.0,34.0,2.0,2.0,1.0,1.0,0.25,2024-06-28 17:21:04
NY_MamaroneckTown,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,1.0,1.0,1.5,2.0,0.4,2024-06-28 17:20:57
NY_Waverly,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0.0,1.0,1.0,0.0,0.0,0.0,37.5,40.0,3.0,3.0,1.0,1.0,,2024-06-28 17:19:32
OH_Aurora,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,10.0,2.0,3.0,2.0,1.0,0.1,2024-06-28 17:19:16
OH_Greenville,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,20.0,20.0,1.0,1.0,2.0,2.0,0.25,2024-06-28 17:17:42
