muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,last_date,timestamp
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Anchorage.txt,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,2.0,1.0,2.0,1.0,0.32432432432432434,43634.0,2022-04-27 10:17:10
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Homer.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,,,1.0,1.0,0.42857142857142855,43577.0,2022-04-27 10:17:12
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Kenai.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,10.5,10.5,2.0,2.0,0.38461538461538464,43635.0,2022-04-27 10:17:13
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Palmer.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,10.0,4.0,4.0,2.0,1.0,0.2,43669.0,2022-04-27 10:17:13
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Petersburg.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,30.0,30.0,2.5,3.0,2.0,2.0,0.5,41275.0,2022-04-27 10:17:13
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Sitka.txt,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,0.0,1.0,16.0,16.0,1.0,1.0,2.0,2.0,0.4,43282.0,2022-04-27 10:17:13
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AK_Yakutat.txt,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,1.0,1.0,2.0,2.0,0.0,42186.0,2022-04-27 10:17:13
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Athens.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,12.0,10.0,2.0,2.0,2.0,2.0,0.2857142857142857,43409.0,2022-04-27 10:17:13
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Auburn.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1.0,1.0,1.0,1.0,0.0,0.0,35.0,45.0,2.0,2.0,2.0,2.0,0.058823529411764705,43557.0,2022-04-27 10:17:14
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Bessemer.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,,,4.25,1.0,0.2857142857142857,42871.0,2022-10-21 02:01:58
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Birmingham.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,1.0,0.0,45.0,45.0,3.0,3.0,3.0,1.0,0.42857142857142855,43465.0,2022-04-27 10:17:14
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Chickasaw.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,0.0,1.0,35.0,35.0,3.0,3.0,1.5,2.0,0.6666666666666666,42451.0,2022-04-27 10:17:14
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Citronelle.txt,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,2.0,2.0,2.0,2.0,0.0,42817.0,2022-04-27 10:17:14
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Clanton.txt,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0.0,1.0,0.0,1.0,1.0,1.0,50.0,35.0,10.5,10.5,2.0,2.0,0.0,41834.0,2022-10-21 02:01:58
/projects/DESMOND/data_nb/Zoning/ZoningI/Raw/AL_Decatur.txt,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0.0,1.0,1.0,1.0,0.0,35.0,35.0,3.0,3.0,1.5,1.0,0.38461538461538464,43039.0,2022-04-27 10:17:15
